ZIP,Territory ID,Territory Name,Region ID,Region Name,E/W ID,E/W Name,County,City,State
983,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAROLINA,CAROLINA,PR
984,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAROLINA,CAROLINA,PR
985,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAROLINA,CAROLINA,PR
986,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAROLINA,CAROLINA,PR
987,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CANOVANAS,CAROLINA,PR
988,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAROLINA,CAROLINA,PR
1001,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,AGAWAM,MA
1002,1010403,"Hartford, CT",10104,New England,101,East Rare Region,FRANKLIN,AMHERST,MA
1003,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,AMHERST,MA
1004,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,AMHERST,MA
1005,1010401,"Boston, MA",10104,New England,101,East Rare Region,WORCESTER,BARRE,MA
1007,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,BELCHERTOWN,MA
1008,1010403,"Hartford, CT",10104,New England,101,East Rare Region,BERKSHIRE,BLANDFORD,MA
1009,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,BONDSVILLE,MA
1010,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,BRIMFIELD,MA
1011,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,CHESTER,MA
1012,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,CHESTERFIELD,MA
1013,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,CHICOPEE,MA
1014,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,CHICOPEE,MA
1020,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,CHICOPEE,MA
1021,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,CHICOPEE,MA
1022,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,CHICOPEE,MA
1026,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,CUMMINGTON,MA
1027,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,EASTHAMPTON,MA
1028,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,EAST LONGMEADOW,MA
1029,1010403,"Hartford, CT",10104,New England,101,East Rare Region,BERKSHIRE,EAST OTIS,MA
1030,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,FEEDING HILLS,MA
1031,1010401,"Boston, MA",10104,New England,101,East Rare Region,WORCESTER,GILBERTVILLE,MA
1032,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,GOSHEN,MA
1033,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,GRANBY,MA
1034,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,GRANVILLE,MA
1035,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,HADLEY,MA
1036,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,HAMPDEN,MA
1037,1010401,"Boston, MA",10104,New England,101,East Rare Region,WORCESTER,HARDWICK,MA
1038,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,HATFIELD,MA
1039,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPSHIRE,HAYDENVILLE,MA
1040,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,HOLYOKE,MA
1041,1010403,"Hartford, CT",10104,New England,101,East Rare Region,HAMPDEN,HOLYOKE,MA
