,NPI,PROVIDER_ZIP,VYVGART_VOLUME_3MONTH_KOMODO,SOLIRIS_VOLUME_3MONTH_KOMODO,ULTOMIRIS_VOLUME_3MONTH_KOMODO,VYVGART_VOLUME_6MONTH_KOMODO,SOLIRIS_VOLUME_6MONTH_KOMODO,ULTOMIRIS_VOLUME_6MONTH_KOMODO,VYVGART_VOLUME_12MONTH_KOMODO,SOLIRIS_VOLUME_12MONTH_KOMODO,ULTOMIRIS_VOLUME_12MONTH_KOMODO
1212,1700851243,32025,4,6,0,8,12,2,12,25,2
1213,1942248604,85206,0,0,0,0,0,0,3,0,0
1214,1265028500,76016,0,0,0,0,0,0,0,3,0
1215,1225214786,30501,0,0,0,0,0,0,0,1,0
1216,1265717193,38242,0,0,0,6,0,0,6,0,0
1217,1073602942,48109,3,0,0,3,0,0,3,0,0
1218,1710987672,77706,4,0,0,4,0,0,4,0,0
1219,1366552226,24701,5,0,0,5,0,0,5,0,0
1220,1649561473,97504,0,0,0,0,0,0,0,1,0
1221,1891106936,84003,0,4,0,0,8,0,0,10,0
1222,1043774789,65804,0,0,0,2,0,0,6,0,0
1223,1700868155,89113,0,0,0,0,0,2,0,0,2
1224,1457340960,32751,0,12,9,0,26,14,0,56,27
1225,1871715391,27710,0,8,2,2,8,3,4,8,6
1226,1316168743,43221,1,0,0,1,0,0,1,0,0
1227,1356449177,08610,0,0,0,0,0,0,0,3,0
1228,1023453008,28025,0,0,0,0,0,1,0,0,1
1229,1871511238,11021,0,8,0,0,13,0,0,33,0
1230,1124046776,96001,3,0,0,3,0,0,7,0,0
1231,1306219209,61301,1,0,0,1,0,0,2,0,0
1232,1295760965,14642,0,0,0,0,1,0,0,1,0
1233,1053344325,70808,2,0,0,8,0,0,8,0,0
1234,1669449963,33510,0,6,0,0,12,0,0,24,0
1235,1710976915,70808,0,0,0,1,0,0,3,0,0
1236,1831453786,55416,0,0,0,0,0,0,0,5,0
1237,1255411039,48081,0,0,0,0,0,0,0,7,0
1238,1083634927,43055,0,0,0,0,0,0,0,1,0
1239,1700841566,53715,0,0,0,2,0,0,3,0,0
1240,1952593634,33544,0,2,0,0,5,0,0,10,0
1241,1962667790,92307,0,0,3,0,0,12,0,0,16
1242,1316043136,18104,19,0,0,27,0,0,40,1,0
1243,1841713450,61820,2,0,1,2,0,1,2,0,1
1244,1053320945,18103,6,0,0,13,0,0,19,0,0
1245,1144603093,48170,11,6,0,20,13,2,31,52,2
1246,1093990426,94533,4,0,0,8,0,0,15,0,0
1247,1427092485,60010,0,0,0,0,0,0,0,0,2
1248,1821075086,43551,0,0,0,0,0,0,0,5,0
1249,1538315676,74146,1,0,0,5,0,0,6,0,0
1250,1942332242,77702,0,0,0,0,0,0,1,0,0
1251,1861697948,33486,6,0,1,6,0,1,6,0,2
1252,1356361364,48310,4,0,0,11,0,0,22,0,0
1253,1710058698,92691,10,0,0,15,0,0,23,0,0
1254,1154627776,93720,0,0,1,0,0,2,0,0,6
1255,1851389514,33484,1,0,0,1,0,0,1,0,0
1256,1700814191,37404,6,7,9,11,12,14,31,28,21
1257,1275099954,29063,6,1,2,6,3,4,12,13,6
1258,1588734172,24016,8,0,0,16,0,0,24,0,0
1259,1164624581,91767,0,1,0,0,4,0,0,8,0
1260,1366785131,60068,5,0,0,9,0,0,9,0,0
1261,1083935811,89106,3,0,2,8,1,4,16,1,4
1262,1487705034,77087,0,0,0,0,0,0,0,2,0
1263,1477549087,48604,0,0,0,0,1,0,0,1,0
1264,1285982520,48506,0,1,0,0,4,0,0,4,0
1265,1104264613,49525,0,0,0,0,2,0,0,4,0
1266,1750605770,70056,0,0,0,0,0,0,1,0,0
1267,1912904590,39501,0,0,0,0,0,0,1,0,0
1268,1831123272,91706,1,0,0,1,0,0,1,0,0
1269,1821529686,29169,0,0,0,2,0,0,2,0,0
1270,1275741647,48184,0,0,0,0,0,0,1,0,0
1271,1184072373,16507,1,0,0,1,0,0,1,0,0
1272,1780930172,85013,0,0,0,0,0,0,4,0,0
1273,1932351707,77030,16,4,2,30,11,4,39,24,7
1274,1104844695,20037,4,14,0,9,21,0,13,34,0
1275,1467815506,60611,11,0,0,26,1,0,28,1,0
1276,1275995540,72703,1,2,0,1,4,0,6,6,0
1277,1700878113,17011,0,0,0,0,0,0,0,2,0
1278,1932441243,53226,2,0,0,5,0,0,6,0,0
1279,1962897108,60068,0,0,0,0,0,0,0,0,2
1280,1962408047,33414,0,0,0,0,0,0,4,0,0
1281,1215355391,90027,2,0,0,3,0,0,5,0,0
1282,1467806687,23233,0,0,2,0,0,2,0,0,2
1283,1790766392,54601,0,0,0,0,5,0,0,5,0
1284,1922207547,32086,0,1,0,0,1,0,0,1,0
1285,1386888204,43566,3,0,0,4,0,0,4,0,0
1286,1538381389,21201,3,0,0,8,0,0,8,0,0
1287,1134197981,33176,0,5,0,0,7,0,0,7,0
1288,1295829042,68122,0,0,0,0,0,1,0,0,3
1289,1023123353,39401,0,0,0,0,0,0,0,4,0
1290,1558306589,83301,0,0,1,3,0,1,3,1,1
1291,1477891166,78258,0,0,0,1,0,0,3,0,0
1292,1235356247,30607,0,0,0,0,1,0,0,1,0
1293,1881801637,10467,0,4,0,0,13,0,0,29,0
1294,1437327095,20016,0,0,0,0,0,0,0,2,0
1295,1164614863,33607,0,0,2,0,0,2,0,0,2
1296,1609025527,43055,0,0,0,0,0,0,0,1,0
1297,1467886630,10504,0,1,0,0,4,0,0,10,0
1298,1275517088,10305,0,0,0,1,3,0,5,16,3
1299,1063495232,21201,0,0,0,1,0,0,6,0,0
1300,1043501109,48197,0,0,0,0,5,0,0,10,0
1301,1386891679,60445,1,0,0,1,0,0,1,0,0
1302,1518200195,07920,3,0,0,8,0,0,11,0,0
1303,1386664019,27262,4,0,0,4,0,0,6,0,0
1304,1629196399,84020,0,0,0,0,1,0,0,1,0
1305,1336146927,33180,8,0,0,15,0,0,19,0,0
1306,1043343692,03103,4,0,0,8,0,0,14,0,0
1307,1942207220,06102,0,5,0,0,5,0,0,5,0
1308,1841723954,10017,6,0,0,14,0,0,14,0,0
1309,1205031010,92103,0,0,0,0,0,0,1,0,0
1310,1720037088,70121,4,0,0,4,0,0,4,0,0
1311,1164533824,14642,0,0,0,5,4,0,5,9,1
1312,1013335165,20010,0,0,0,0,6,0,0,8,0
