GROUPING,CODE,NDC11,MOLECULE,SOURCE_COMPILE,SOURCE_DM,SOURCE_UCB,SOURCE_KOMODO,
IVIG,76125-900-20,76125090020,GAMMAKED,,,1,,
IVIG,0944-2700-13,944270013,GAMMAGARD LIQUID,,,1,,
Biologic,25682-028-01,25682002801,ULTOMIRIS,,,1,,
IVIG,64208-8234-3,64208823403,GAMMAPLEX,,,1,,
IVIG,13533-800-15,13533080015,GAMUNEX-C,,,1,,
IVIG,44206-437-10,44206043710,PRIVIGEN,,,1,,
IVIG,64208-8234-5,64208823405,GAMMAPLEX,,,1,,
IVIG,0069-1476-02,69147602,CUTAQUIG,,,1,,
IVIG,44206-436-90,44206043690,PRIVIGEN,,,1,,
IVIG,68982-810-81,68982081081,CUTAQUIG,,,1,,
IVIG,68209-843-03,68209084303,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,59730-6502-1,59730650201,BIVIGAM,,,1,,
IVIG,0069-1109-02,69110902,PANZYGA,1,,,,
IVIG,76125-918-09,76125091809,BIVIGAM,1,1,,,
IVIG,76125-918-05,76125091805,BIVIGAM,1,,,,
IVIG,68982-810-83,68982081083,CUTAQUIG,,,1,,
IVIG,,944272403,HYQVIA,,,1,,
IVIG,13533-645-71,13533064571,GAMUNEX,,,1,,
IVIG,68982-810-85,68982081085,CUTAQUIG,,,1,,
IVIG,,944272103,HYQVIA,,,1,,
IVIG,61953-0004-5,61953000405,FLEBOGAMMA DIF,,,1,,
IVIG,0069-1558-01,69155801,PANZYGA,1,1,,,
IVIG,68982-820-86,68982082086,PANZYGA,1,,,,
IVIG,0944-2700-10,944270010,GAMMAGARD LIQUID,,,1,,
IVIG,68982-820-01,68982082001,PANZYGA,1,1,,,
IVIG,68982-820-04,68982082004,PANZYGA,1,1,,,
IVIG,76125-900-11,76125090011,GAMMAKED,1,,,,
IVIG,68982-822-03,68982082203,PANZYGA,1,,,,
IVIG,69800-6503-2,69800650302,BIVIGAM,,,1,,
IVIG,69800-0250-1,69800025001,ASCENIV,1,1,,,
IVIG,0944-2625-03,944262503,GAMMAGARD S/D,1,,,,
Biologic,25682-025-01,25682002501,ULTOMIRIS,,,1,,
IVIG,0944-2850-04,944285004,CUVITRU,,,1,,
IVIG,13533-800-41,13533080041,GAMUNEX-C,,,1,,
IVIG,0944-2700-03,944270003,GAMMAGARD LIQUID,,,1,,
IVIG,0069-1312-02,69131202,PANZYGA,1,1,,,
IVIG,68982-840-05,68982084005,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,68982-822-86,68982082286,PANZYGA,1,,,,
IVIG,13533-335-04,13533033504,GAMASTAN,1,1,,,
IVIG,13533-800-12,13533080012,GAMUNEX-C,,,1,,
IVIG,0944-2512-02,944251202,HYQVIA,,,1,,
IVIG,64208-8234-1,64208823401,GAMMAPLEX,,,1,,
IVIG,61953-0004-7,61953000407,FLEBOGAMMA DIF,,,1,,
IVIG,0069-1960-01,69196001,CUTAQUIG,,,1,,
IVIG,0944-2627-04,944262704,GAMMAGARD S/D,1,,,,
IVIG,0069-1109-01,69110901,PANZYGA,1,1,,,
IVIG,0944-2513-02,944251302,HYQVIA,,,1,,
IVIG,0053-7596-03,53759603,VIVAGLOBIN,1,1,,,
Biologic,25682-031-01,,ULTOMIRIS,1,,,,
IVIG,13533-800-25,13533080025,GAMUNEX-C,,,1,,
IVIG,0069-1224-02,69122402,PANZYGA,1,1,,,
IVIG,0944-2700-06,944270006,GAMMAGARD LIQUID,,,1,,
IVIG,0944-2700-08,944270008,GAMMAGARD LIQUID,,,1,,
IVIG,64208-8235-1,64208823501,GAMMAPLEX,,,1,,
IVIG,13533-800-72,13533080072,GAMUNEX-C,,,1,,
IVIG,68982-822-81,68982082281,PANZYGA,1,,,,
